study_hours_per_day,attendance_percent,previous_exam_score,sleep_hours,extracurricular_activities,part_time_job,final_exam_score,passed
2.6,94.0,72.4,5.4,1,0,45.6,0
5.2,83.1,68.9,5.4,0,1,42.4,0
6.1,84.1,56.7,6.2,1,1,44.4,0
5.9,75.1,54.9,7.0,0,0,58.3,1
2.3,74.1,64.6,7.7,0,0,33.1,0
3.4,74.8,82.6,5.5,0,0,50.7,1
4.7,84.7,73.2,8.4,0,1,61.1,1
6.0,74.9,59.4,6.1,0,0,46.7,0
3.0,83.5,76.6,6.5,1,0,44.8,0
3.6,100.0,22.3,5.5,0,0,39.9,0
1.8,90.5,82.2,3.3,1,0,58.5,1
1.6,76.1,38.9,7.6,0,0,36.8,0
5.6,94.4,59.6,7.5,0,1,46.8,0
6.7,75.1,48.2,6.1,1,0,56.7,1
3.9,55.5,45.6,6.6,0,0,26.3,0
6.0,67.9,82.4,7.2,0,1,56.3,1
4.7,57.6,58.0,4.5,0,1,38.1,0
2.7,75.8,70.2,5.8,0,0,41.5,0
4.7,80.2,64.3,7.5,1,0,45.8,0
7.1,100.0,72.2,4.9,0,0,56.2,1
3.9,83.9,66.2,6.9,1,0,56.7,1
7.1,77.4,45.8,4.7,1,0,63.3,1
0.0,90.0,79.9,7.1,0,0,38.3,0
5.6,53.5,57.6,6.5,1,0,49.4,0
4.2,82.8,41.7,4.4,0,1,17.4,0
3.4,89.3,58.6,8.0,1,0,45.9,0
4.2,62.3,87.5,5.5,0,0,48.4,0
0.0,93.7,77.8,5.4,1,0,36.4,0
3.6,84.1,59.8,6.8,0,1,33.2,0
4.7,75.0,59.8,8.0,0,1,37.6,0
7.0,87.6,60.2,5.2,1,1,55.5,1
3.0,100.0,96.2,6.6,1,1,53.3,1
2.4,82.2,70.7,7.1,0,1,20.4,0
3.0,83.0,71.5,7.4,0,0,30.1,0
5.8,74.5,80.5,6.7,1,0,52.7,1
4.7,69.8,68.6,6.0,1,0,53.7,1
2.9,90.0,61.1,5.4,1,1,17.3,0
5.0,69.7,62.1,6.6,1,1,39.1,0
4.2,80.9,63.9,5.1,1,0,44.7,0
5.9,74.3,64.4,3.0,1,0,63.2,1
2.6,85.7,75.9,7.1,0,0,46.1,0
3.3,84.0,65.8,7.7,0,1,46.8,0
3.2,92.5,76.0,3.4,1,0,52.6,1
1.1,73.9,63.8,5.2,1,0,18.8,0
4.6,76.8,66.2,7.3,0,0,57.6,1
4.5,68.3,35.0,9.2,0,0,43.9,0
4.0,74.7,78.7,6.5,1,1,50.7,1
3.5,84.5,70.2,5.6,0,0,84.4,1
1.2,89.1,80.0,6.3,0,1,21.7,0
3.2,68.9,21.6,8.3,0,0,49.4,0
3.3,90.4,96.3,5.7,0,0,54.2,1
2.4,96.3,62.9,5.5,0,0,49.8,0
3.7,85.0,81.6,5.9,0,1,46.4,0
4.8,100.0,49.4,5.3,0,0,48.2,0
7.8,70.7,74.2,6.7,1,0,56.1,1
4.3,65.1,49.2,8.6,0,0,46.4,0
4.5,58.7,55.6,6.9,1,1,23.8,0
3.9,98.0,93.7,6.2,1,0,68.8,1
0.2,87.9,62.1,6.1,0,1,28.8,0
3.9,79.3,68.3,4.5,1,0,38.5,0
4.1,83.4,78.1,7.6,0,0,50.5,1
8.9,66.5,72.4,6.4,1,0,74.0,1
3.6,100.0,67.3,6.3,0,0,49.1,0
4.6,81.6,70.5,10.0,1,0,60.6,1
3.9,81.3,100.0,6.9,1,0,53.0,1
1.7,88.7,64.1,5.5,0,0,50.0,0
6.3,85.8,68.0,5.9,0,1,57.7,1
5.5,82.7,80.8,8.0,1,0,77.6,1
5.6,70.5,81.6,6.6,1,1,48.9,0
2.2,85.7,82.8,4.6,0,0,53.6,1
6.8,100.0,74.6,7.7,1,0,69.1,1
1.2,96.1,47.9,5.6,0,0,51.7,1
5.2,99.1,89.5,8.9,1,0,61.6,1
8.4,73.9,47.8,7.9,0,0,63.9,1
2.0,68.1,69.5,5.9,1,0,39.5,0
2.9,78.5,53.7,8.2,0,0,43.2,0
4.2,80.7,64.0,6.6,0,0,50.2,1
3.0,93.1,69.9,7.6,0,1,48.3,0
0.9,59.7,69.8,7.1,0,1,28.1,0
4.1,98.4,71.3,5.4,0,0,57.1,1
1.9,78.1,89.2,5.7,0,0,61.2,1
4.9,74.9,71.8,7.8,1,0,63.5,1
2.2,67.9,61.3,6.1,0,0,46.1,0
7.1,60.1,79.5,6.0,0,0,51.1,1
2.4,89.9,82.8,5.3,0,0,42.2,0
3.4,80.9,46.6,7.1,0,0,51.6,1
5.6,64.5,74.0,9.2,0,0,61.8,1
1.5,64.5,75.5,5.1,0,0,51.2,1
4.5,76.0,60.5,6.5,0,1,36.4,0
6.6,100.0,85.6,8.3,0,1,61.5,1
0.8,76.9,62.7,6.4,0,0,22.7,0
4.4,62.0,66.9,7.1,1,1,37.5,0
4.5,77.1,62.4,5.1,0,1,50.4,1
5.6,76.7,65.2,7.1,0,0,48.9,0
1.5,47.6,48.6,6.3,1,0,34.5,0
1.4,79.3,43.4,7.8,0,0,34.8,0
5.0,77.2,88.9,8.0,1,1,57.0,1
4.6,88.4,52.3,9.9,0,1,36.9,0
4.5,100.0,50.1,7.3,1,0,55.6,1
4.7,93.5,32.7,6.9,1,0,21.8,0
2.6,76.8,55.4,6.8,0,0,39.9,0
4.5,66.7,45.2,6.0,1,0,27.6,0
4.6,100.0,89.6,6.9,0,0,74.0,1
2.6,80.7,80.1,6.1,0,1,49.1,0
7.7,80.2,54.7,6.7,1,0,63.3,1
4.9,79.7,98.8,8.2,1,1,70.9,1
1.6,82.4,79.7,5.2,0,1,30.1,0
5.3,78.3,60.1,8.0,0,1,62.2,1
2.1,73.1,27.5,8.2,0,0,41.6,0
5.6,73.4,99.4,6.3,0,0,57.8,1
6.3,79.6,44.2,3.7,1,0,59.3,1
2.4,73.5,40.3,5.7,0,0,25.0,0
5.9,71.4,80.3,8.2,0,0,50.1,1
4.8,81.3,100.0,6.5,0,0,54.9,1
5.6,76.9,85.8,5.2,0,0,51.9,1
7.8,98.0,73.5,5.8,0,0,57.5,1
3.5,48.2,73.9,7.6,1,0,53.6,1
2.5,93.1,77.8,7.2,1,0,51.2,1
2.2,95.0,76.4,6.2,1,1,49.1,0
2.4,55.1,69.2,6.0,0,1,25.8,0
3.8,75.9,66.6,6.0,1,0,32.0,0
4.7,75.5,64.1,5.3,1,0,52.0,1
4.6,63.1,53.7,8.6,1,0,28.9,0
5.7,70.7,60.8,6.1,0,0,48.8,0
4.0,66.7,39.6,8.1,0,0,27.7,0
6.9,100.0,63.5,8.5,0,1,77.0,1
3.5,91.2,50.2,7.8,0,0,56.3,1
9.4,95.3,48.4,5.9,0,0,65.9,1
5.3,88.7,67.7,7.0,0,0,67.7,1
2.3,66.5,85.9,6.5,0,0,37.1,0
1.9,73.7,78.8,5.3,1,0,49.1,0
5.0,85.9,41.4,6.9,0,0,49.7,0
3.6,65.3,50.2,5.0,0,0,40.1,0
5.4,88.6,79.1,8.0,1,0,73.6,1
4.9,77.1,50.3,5.9,1,0,54.5,1
3.9,75.5,61.6,6.8,1,0,50.5,1
2.3,88.5,73.3,6.9,1,0,35.3,0
1.0,85.3,50.5,6.2,0,1,22.7,0
3.1,75.7,66.6,7.3,1,0,46.3,0
5.7,93.9,45.0,5.9,0,0,53.3,1
4.4,67.0,56.0,7.6,0,0,34.8,0
1.5,87.4,69.8,4.8,0,0,64.6,1
4.3,87.1,41.1,6.7,0,0,59.8,1
4.8,76.3,71.6,9.0,0,0,59.5,1
2.2,83.9,64.7,5.2,1,1,39.4,0
4.3,65.0,73.3,5.6,1,0,45.9,0
4.1,91.1,68.4,7.2,1,0,46.9,0
1.7,77.8,85.5,6.7,0,0,47.3,0
4.7,73.7,66.9,7.0,1,1,47.8,0
5.1,92.6,58.6,7.1,1,0,45.2,0
6.2,71.5,66.8,7.3,0,0,57.0,1
6.1,63.1,73.1,7.9,1,0,53.6,1
1.2,61.3,65.7,7.0,0,0,18.4,0
2.1,87.3,65.6,6.2,0,0,37.4,0
5.0,64.6,54.5,7.4,1,0,43.3,0
5.0,100.0,55.1,9.0,0,0,74.8,1
5.0,55.0,44.0,6.3,0,0,43.9,0
10.0,100.0,91.2,5.2,1,0,67.5,1
5.1,82.5,46.3,7.9,1,0,55.6,1
6.3,78.8,54.6,6.3,0,1,32.5,0
5.9,73.5,54.2,3.7,0,0,56.7,1
5.3,84.8,78.4,7.6,0,0,54.3,1
3.4,79.5,60.6,5.8,1,0,45.6,0
5.5,93.2,83.7,6.4,0,0,73.8,1
2.5,81.4,54.9,6.9,0,1,24.8,0
3.5,81.8,69.2,6.7,1,0,38.1,0
3.0,75.6,52.5,7.4,0,0,37.1,0
4.2,79.3,97.2,5.9,0,0,65.9,1
8.6,83.7,47.2,7.2,0,0,46.3,0
0.3,59.5,69.6,6.2,1,0,8.2,0
5.4,63.8,74.5,7.5,0,0,47.3,0
0.8,88.9,71.2,7.3,0,0,49.1,0
3.1,82.1,62.2,5.3,1,1,50.9,1
6.2,77.8,63.1,7.9,0,0,51.4,1
4.1,80.2,65.7,5.8,0,1,39.0,0
1.8,84.2,62.8,7.6,0,1,48.4,0
2.6,73.5,79.5,7.0,0,1,23.8,0
5.4,70.7,98.2,8.9,0,0,57.2,1
2.5,82.4,56.6,6.2,0,0,44.4,0
4.4,68.3,44.5,6.0,0,1,39.0,0
4.1,84.9,63.7,6.5,0,0,45.5,0
2.7,59.6,100.0,6.1,1,0,48.9,0
8.3,92.3,52.9,7.5,1,1,36.4,0
5.3,85.7,89.6,4.4,1,1,47.9,0
0.0,83.1,90.2,5.1,1,0,48.2,0
4.4,91.8,56.7,5.1,0,0,41.1,0
2.7,100.0,73.5,7.7,1,0,56.2,1
5.7,92.2,89.4,8.7,0,1,63.9,1
2.4,57.9,59.3,6.4,1,1,28.2,0
3.8,64.6,61.9,6.3,1,0,45.5,0
5.0,72.5,56.3,6.6,1,0,40.3,0
5.7,80.3,49.8,8.0,1,1,45.4,0
1.6,86.2,55.3,5.3,1,0,46.8,0
3.3,71.3,46.6,6.8,0,0,41.3,0
3.1,82.2,65.5,7.8,0,1,36.7,0
2.7,70.9,53.5,7.2,1,0,43.4,0
7.5,72.7,68.5,6.7,0,0,64.7,1
4.8,63.1,41.7,7.8,1,0,24.6,0
1.5,68.9,70.0,3.0,1,0,47.5,0
5.8,63.8,77.5,7.4,0,1,44.4,0
8.2,68.3,35.1,5.6,1,0,55.0,1
6.1,92.6,70.6,4.1,1,1,64.0,1
1.0,68.6,83.4,7.2,1,0,30.6,0
3.0,100.0,46.9,8.3,1,0,44.2,0
6.5,85.9,90.1,6.3,0,0,61.6,1
2.6,82.2,71.3,7.7,1,0,42.4,0
4.9,69.7,54.4,8.6,1,0,64.9,1
5.5,88.4,64.2,8.2,0,0,49.7,0
2.1,73.1,73.4,8.6,0,0,40.3,0
3.9,81.5,66.1,7.5,1,0,53.4,1
0.0,100.0,73.1,6.6,0,1,28.0,0
2.0,78.8,51.2,4.4,1,0,34.7,0
3.5,93.8,67.5,6.2,1,1,50.0,1
1.5,71.6,43.8,5.4,0,0,29.3,0
7.3,79.6,63.3,9.3,1,0,61.5,1
1.1,100.0,51.4,6.3,1,0,39.3,0
3.1,72.5,54.0,6.7,0,0,27.6,0
4.3,100.0,83.5,7.2,0,0,63.8,1
6.9,88.5,81.4,6.6,0,1,73.9,1
1.1,73.3,74.1,8.7,0,1,36.8,0
6.3,87.6,48.6,5.7,1,0,56.6,1
4.0,91.7,60.3,6.8,0,0,57.6,1
2.0,87.5,83.2,5.5,1,1,32.8,0
4.9,61.2,67.1,4.8,0,0,60.0,1
4.4,71.3,99.8,5.7,0,1,51.0,1
2.8,77.0,70.9,6.5,1,1,55.9,1
4.1,79.1,67.9,5.9,1,1,38.0,0
3.2,87.4,60.4,5.6,0,0,63.0,1
4.2,82.1,67.0,4.7,0,0,55.7,1
5.3,64.0,62.7,6.4,0,0,52.2,1
7.2,84.6,75.6,4.5,0,0,62.4,1
1.5,87.3,79.4,7.5,1,1,41.4,0
8.3,86.7,53.2,6.6,0,0,71.5,1
0.1,93.0,45.0,4.6,0,0,35.3,0
3.7,90.0,37.5,6.1,0,1,19.9,0
5.2,85.5,72.6,5.5,1,1,40.3,0
4.6,79.2,48.4,6.9,1,1,40.3,0
2.8,60.1,32.7,8.2,0,1,29.5,0
3.6,85.2,70.8,4.1,1,0,49.1,0
3.0,82.5,100.0,6.6,0,0,66.4,1
2.8,83.3,64.9,6.3,0,1,22.4,0
5.7,64.7,77.6,7.4,1,0,56.1,1
4.7,67.0,66.2,6.8,1,0,32.7,0
2.6,92.6,63.5,5.5,1,0,55.4,1
5.8,79.5,78.8,6.1,1,0,57.7,1
4.6,88.2,60.6,5.5,0,1,48.7,0
5.6,80.3,69.0,7.9,1,0,49.9,0
5.3,80.4,69.8,6.5,0,0,65.4,1
2.3,91.3,55.0,9.0,1,0,58.0,1
2.9,73.8,79.9,6.4,0,0,52.4,1
5.5,81.2,62.4,5.6,1,0,52.3,1
5.2,74.5,53.7,4.5,0,0,51.2,1
4.0,74.8,73.0,4.2,0,1,34.4,0
4.2,76.3,51.5,4.4,1,0,52.1,1
6.6,82.7,65.4,6.8,0,0,72.5,1
2.8,74.3,64.9,7.2,0,0,53.7,1
5.1,95.1,81.3,4.4,0,0,52.0,1
3.6,69.3,72.1,7.7,0,0,50.5,1
3.6,77.8,64.6,5.9,0,1,28.4,0
6.2,74.7,77.3,6.7,0,0,62.2,1
5.7,97.4,85.9,8.6,1,1,65.8,1
5.6,82.4,73.4,7.7,0,0,40.8,0
6.6,92.4,65.2,6.2,1,0,51.0,1
4.0,62.2,45.3,5.3,1,0,36.4,0
5.4,83.2,49.0,3.7,0,1,38.3,0
3.4,90.7,60.4,5.6,1,0,38.6,0
4.6,81.0,55.9,6.2,0,0,51.9,1
3.7,92.8,62.2,5.2,1,0,53.6,1
4.2,73.8,65.8,6.3,0,0,45.8,0
5.2,96.9,72.9,6.6,0,0,52.7,1
2.4,100.0,63.9,6.2,1,0,60.2,1
8.2,75.6,72.3,5.7,1,0,77.4,1
2.0,74.7,66.0,6.7,1,0,38.7,0
1.6,97.4,35.4,7.1,0,0,34.4,0
6.3,99.0,50.9,5.1,1,1,56.4,1
5.6,73.7,62.8,8.3,0,1,43.7,0
5.2,75.0,46.9,6.4,0,1,39.1,0
5.3,76.6,74.0,6.5,0,0,60.4,1
4.0,63.9,88.0,7.4,1,0,34.8,0
2.2,69.0,83.3,6.8,0,0,56.8,1
4.2,68.0,61.8,7.7,0,0,46.7,0
2.6,70.8,87.4,6.9,1,0,45.7,0
6.0,79.6,67.2,5.7,0,0,53.4,1
3.7,82.8,59.9,7.0,0,0,47.6,0
2.3,98.6,55.8,5.0,0,0,30.0,0
3.4,68.0,60.5,6.6,1,1,51.2,1
4.8,91.8,59.2,6.5,0,0,53.6,1
2.9,77.4,67.6,6.2,0,0,49.0,0
2.4,79.4,67.4,6.3,1,0,54.1,1
4.5,88.1,65.0,4.1,1,0,42.5,0
4.5,66.5,71.6,5.8,0,0,51.4,1
3.0,84.6,82.9,6.6,1,1,44.8,0
3.1,82.0,79.2,6.7,1,1,53.4,1
4.5,85.9,42.7,5.2,1,0,27.4,0
1.1,83.5,26.7,8.1,0,1,26.3,0
1.2,100.0,79.0,5.4,1,1,38.8,0
2.6,72.3,44.5,7.8,0,1,36.2,0
3.6,73.6,61.6,7.1,0,1,43.5,0
4.6,72.5,47.4,5.7,0,0,36.8,0
7.0,73.3,38.0,8.8,0,0,44.7,0
5.7,72.4,73.1,4.9,0,0,51.1,1
3.7,94.3,76.4,7.7,1,0,49.5,0
4.0,97.0,56.4,7.8,0,1,54.5,1
2.0,73.2,26.1,5.6,0,0,26.8,0
4.0,70.0,56.8,8.3,0,1,13.2,0
3.4,85.7,70.9,6.2,0,1,40.5,0
4.6,73.4,42.8,6.9,1,1,29.7,0
2.3,87.6,67.8,6.8,0,1,26.4,0
5.0,82.4,64.8,6.3,0,0,41.2,0
7.1,61.8,73.7,7.6,0,0,56.7,1
3.8,98.6,66.8,7.5,0,0,67.1,1
4.8,100.0,50.4,4.2,0,0,54.1,1
5.4,72.6,82.9,8.2,1,0,52.9,1
3.2,75.3,62.6,4.3,1,0,47.8,0
4.4,83.4,64.6,7.8,0,1,42.2,0
4.0,84.0,51.0,8.0,1,0,43.2,0
4.2,87.9,58.4,5.1,1,0,39.7,0
2.5,100.0,51.7,6.0,1,0,32.0,0
4.0,77.9,62.4,5.1,0,0,42.7,0
5.0,70.4,90.7,6.2,0,0,56.4,1
6.9,63.4,44.4,6.1,0,1,40.1,0
5.9,71.2,40.8,7.5,1,0,44.6,0
8.3,79.6,87.1,8.2,1,1,55.8,1
2.5,100.0,61.9,8.3,0,0,56.6,1
5.7,73.8,55.0,5.8,0,1,31.0,0
4.4,82.7,80.6,6.2,1,0,62.8,1
8.4,79.8,55.9,4.3,1,0,49.9,0
2.4,94.3,92.4,5.5,1,0,48.7,0
2.3,100.0,75.2,7.8,1,1,35.8,0
2.8,73.6,57.7,8.6,0,0,39.0,0
0.0,74.1,97.4,4.9,1,0,51.8,1
2.9,92.5,55.9,5.7,1,1,46.5,0
2.5,88.2,76.1,6.5,0,1,52.2,1
4.3,100.0,69.5,6.9,0,0,61.8,1
4.7,87.0,84.5,5.4,1,1,42.3,0
7.8,75.7,88.4,7.1,0,0,62.1,1
5.9,87.1,65.5,5.9,1,0,50.6,1
2.8,93.3,53.7,6.5,1,0,59.9,1
2.2,89.8,71.9,7.2,1,1,33.5,0
5.0,86.1,54.8,6.5,0,1,53.0,1
1.4,92.8,95.2,5.9,0,0,59.7,1
7.7,94.0,67.0,6.4,1,0,82.3,1
6.4,96.6,59.5,6.4,0,0,55.6,1
3.1,87.8,67.8,6.0,1,1,50.4,1
0.6,78.0,44.8,6.2,1,1,48.5,0
6.7,81.8,50.4,8.6,0,0,50.3,1
3.8,94.5,83.0,7.2,0,1,37.8,0
6.5,70.2,55.1,6.1,0,1,27.5,0
0.8,84.4,49.3,7.4,0,0,43.9,0
2.8,75.3,73.0,6.1,1,0,29.9,0
4.0,80.3,82.8,8.0,1,0,53.0,1
4.1,95.3,75.8,7.0,1,0,62.2,1
3.1,82.3,79.9,6.4,1,0,53.5,1
5.2,80.6,53.6,7.1,0,0,54.2,1
1.9,63.7,43.7,4.5,1,1,27.6,0
3.7,89.0,87.5,5.0,1,0,67.8,1
4.2,87.7,60.2,4.9,1,0,42.0,0
5.0,100.0,61.2,6.7,1,0,52.5,1
5.4,76.3,84.9,8.8,0,0,52.2,1
1.8,82.6,73.3,9.4,1,0,56.7,1
0.9,83.0,71.8,7.3,0,0,51.1,1
6.6,98.9,97.5,7.2,0,0,74.9,1
4.7,78.9,55.3,4.2,0,0,56.3,1
2.5,83.3,78.9,5.8,1,0,38.9,0
7.1,87.3,65.9,5.5,1,0,75.9,1
4.2,82.2,69.0,5.7,1,1,59.5,1
6.4,74.6,87.9,6.3,1,0,67.9,1
4.1,82.3,72.6,5.9,1,0,68.7,1
8.1,92.9,73.1,3.9,1,1,45.0,0
7.5,67.7,81.1,7.5,0,0,55.9,1
3.5,81.6,59.5,5.1,0,0,38.4,0
5.9,71.6,52.4,6.8,0,1,49.7,0
5.3,94.3,49.3,9.2,1,0,47.8,0
6.7,61.7,35.5,5.3,1,0,51.2,1
2.1,73.3,95.8,3.2,0,1,51.7,1
5.4,84.5,48.5,6.1,0,1,50.0,0
6.1,98.8,61.7,7.9,1,1,59.4,1
0.5,79.2,60.8,9.0,0,0,30.6,0
1.6,73.3,69.6,4.9,1,0,33.1,0
0.0,100.0,77.2,7.1,1,0,59.2,1
3.5,62.6,77.9,5.9,0,0,51.6,1
5.4,53.6,56.3,6.4,0,0,42.5,0
7.0,85.3,62.5,9.9,1,0,59.9,1
4.1,74.0,69.2,4.5,1,1,23.8,0
7.3,67.7,61.3,6.8,0,0,44.6,0
1.2,88.5,89.1,7.1,1,0,68.4,1
0.6,82.9,72.4,7.9,0,0,31.1,0
3.9,73.2,76.0,6.6,0,0,51.0,1
4.8,64.6,74.9,6.9,1,0,59.9,1
3.9,90.5,82.6,6.0,1,0,45.8,0
0.0,87.8,67.7,6.8,0,0,41.8,0
3.8,78.8,45.5,6.1,1,0,52.5,1
1.4,100.0,71.0,7.3,1,1,44.8,0
5.3,67.2,55.2,6.0,0,1,65.8,1
4.7,61.7,57.1,7.0,0,0,28.9,0
2.1,71.7,73.8,6.5,1,0,53.8,1
3.0,79.5,83.6,8.0,0,1,44.1,0
1.9,82.9,65.3,6.4,0,1,44.2,0
3.9,77.1,69.6,4.2,0,0,50.3,1
5.9,84.2,90.5,8.1,1,1,52.7,1
2.0,65.0,68.6,5.3,1,0,41.6,0
5.0,97.3,100.0,5.7,1,1,43.7,0
2.9,79.0,73.5,5.7,0,1,46.0,0
2.4,93.4,38.6,8.3,1,0,47.4,0
3.8,84.1,76.3,3.7,1,1,50.6,1
1.9,85.5,70.7,10.0,1,0,60.1,1
2.9,86.8,84.3,7.9,1,1,52.5,1
1.6,85.4,75.1,6.8,0,0,47.3,0
7.9,87.7,62.9,6.4,1,1,49.8,0
4.1,95.9,46.6,6.9,0,0,43.1,0
2.6,82.4,61.9,7.2,0,0,55.8,1
4.4,88.5,52.2,7.3,0,0,63.2,1
3.8,78.9,56.3,7.2,0,1,38.2,0
3.6,97.3,73.8,6.6,0,1,49.3,0
5.2,71.9,90.0,6.2,1,1,43.4,0
5.5,100.0,70.9,6.3,0,1,65.1,1
2.9,79.5,47.1,6.2,1,0,48.2,0
2.8,62.8,71.7,8.0,0,0,60.8,1
3.4,81.5,82.9,7.3,0,0,44.9,0
0.0,71.8,55.9,3.0,1,0,26.6,0
1.0,90.1,63.0,7.4,0,0,45.1,0
6.7,72.2,65.2,6.8,0,0,60.7,1
7.3,74.6,53.2,6.5,1,0,53.6,1
3.5,57.3,74.7,6.0,0,0,34.5,0
5.2,74.6,63.2,8.0,0,0,59.5,1
4.6,50.9,71.3,7.7,0,0,51.2,1
10.0,61.0,51.7,5.5,1,1,44.0,0
6.2,89.1,58.4,7.0,1,1,64.8,1
3.7,89.4,75.8,5.2,1,1,58.3,1
2.1,85.1,59.4,4.7,1,0,44.1,0
0.8,68.4,90.9,5.7,0,0,42.0,0
4.4,79.4,59.0,7.6,0,1,48.4,0
2.5,80.0,68.4,7.7,1,0,40.0,0
1.2,66.1,79.0,7.2,0,0,40.5,0
2.7,98.0,43.7,7.4,0,0,26.5,0
1.8,90.5,38.6,7.2,0,0,47.4,0
7.4,77.3,42.1,5.7,0,0,37.5,0
5.8,80.3,83.9,7.1,1,0,74.5,1
4.0,82.5,56.7,7.5,0,0,45.5,0
7.0,55.5,100.0,7.5,0,0,58.1,1
4.2,77.0,56.5,8.0,0,0,42.1,0
2.3,71.8,67.8,7.4,1,1,35.6,0
7.0,68.0,88.1,7.0,0,0,73.3,1
5.1,76.6,95.1,7.9,0,0,37.5,0
1.9,100.0,95.9,6.5,1,1,63.2,1
3.6,87.7,83.1,5.4,1,0,57.8,1
2.2,73.1,80.4,6.3,0,0,34.2,0
1.2,86.9,73.9,5.5,0,0,34.1,0
